Provinsi,Tahun,Luas Panen,Curah hujan,Kelembapan,Suhu rata-rata,Produksi
Riau,2005,134418,1996.3,83.93,26.58,424095
Riau,2006,136177,537.6,79.6,27.7,42938
Riau,2007,147167,3216.3,85.3,27.1,490087
Riau,2008,147796,3026.2,80.2,27.4,494260
Riau,2009,149423,3390,76.2,27.7,531429
Riau,2010,156088,3390,76.2,27.7,574864
Riau,2011,145242,2405,74.5,27,535788
Riau,2012,144015,2636,76.1,27.3,512152
Riau,2013,118518,2628,76,26,434144
Riau,2014,106037,2343,78.1,27.2,385475
Riau,2015,107546,2048.3,80.5,27.2,393917
Riau,2016,72151,2105.6,83.72,27,325826
Riau,2017,70016,2982.9,84.76,26.7,337421
Riau,2018,71448.08,1837.1,71.22,25,266375.53
Riau,2019,63142.04,1608.3,83.77,26.91,230873.97
Riau,2020,64733.13,2584.9,81.8,25.93,269344.05
Jambi,1993,199431,1954,83.81,26.29,607529
Jambi,1994,184029,1824,81.25,25.51,564722
Jambi,1995,193666,2290.1,83.96,26.22,593502
Jambi,1996,215975,2309.1,83.6,26,657650
Jambi,1997,190608,1030.1,80.64,26.5,572269
Jambi,1998,178766,2383.8,83.47,26.78,550277
Jambi,1999,178307,2429.3,83.25,26.34,553641
Jambi,2000,171395,840.3,84.85,27.76,536779
Jambi,2001,164826,2515.2,72.4,28.12,556564
Jambi,2002,165729,2044.5,70.77,28.82,561007
Jambi,2003,159463,2508.1,71.28,29.39,578346
Jambi,2004,156803,2561,82.74,28.95,579404
Jambi,2005,154941,1015.7,84.8,26.8,579635
Jambi,2006,140613,424.7,85,26.77,544597
Jambi,2007,149888,2394,86,26.6,58663
Jambi,2008,143034,2230,83.7,26.5,581704
Jambi,2009,155802,2299,83.8,27.1,644947
Jambi,2010,153897,3207,84.6,27.1,628828
Jambi,2011,157441,2295,82.5,26.9,646641
Jambi,2012,149369,1874,81.4,26.7,625164
Jambi,2013,153243,2093,83.42,26.8,664535
Jambi,2014,145990,1781,82.8,27.2,664720
Jambi,2015,122214,1694.9,82.1,27,541486
Jambi,2016,96588,1502.4,83.84,26.84,642095
Jambi,2017,97690,2193.2,83.69,26.62,678127
Jambi,2018,86202.68,2182.3,82.23,26.62,383045.74
Jambi,2019,69536.06,1773.4,81.44,26.94,309932.68
Jambi,2020,84772.93,2303.8,78.24,25.85,374376.27
Sumatera Selatan,1993,439895,2815,82.78,26.38,1409559
Sumatera Selatan,1994,422109,1800,79.89,26.53,1347611
Sumatera Selatan,1995,492448,2800,82.71,26.54,1557944
Sumatera Selatan,1996,495958,2614,82.45,26.34,1666591
Sumatera Selatan,1997,469670,1558.3,78.47,26.75,1577398
Sumatera Selatan,1998,621829,2539.3,82.58,26.19,1931505
Sumatera Selatan,1999,530692,2704.7,81.01,25.67,1789961
Sumatera Selatan,2000,555427,2632.5,83.26,25.32,1863643
Sumatera Selatan,2001,511928,2837.5,72.06,28.83,1723433
Sumatera Selatan,2002,561724,2368.2,70.36,28.23,1899849
Sumatera Selatan,2003,570010,2674,69.59,29.64,1977345
Sumatera Selatan,2004,625013,2182.6,80.96,28.7,2260794
Sumatera Selatan,2005,626849,1356.9,82.5,27.1,2320110
Sumatera Selatan,2006,646927,1442,80,27.1,2456251
Sumatera Selatan,2007,691467,2364.7,83.5,27,2753044
Sumatera Selatan,2008,718797,2685.7,84.8,26.9,2971286
Sumatera Selatan,2009,746465,2389,82.3,27.4,3125236
Sumatera Selatan,2010,769478,3396,85.25,27.08,3272451
Sumatera Selatan,2011,784820,2593,84.8,27.3,3384670
Sumatera Selatan,2012,769725,3083,83,27.4,3295247
Sumatera Selatan,2013,800036,3409,84,27.3,3676723
Sumatera Selatan,2014,810900,1668.3,81,26,3670435
Sumatera Selatan,2015,872737,1947.2,79.5,27.7,4247922
Sumatera Selatan,2016,615184,3477.9,82.22,27.31,4881089
Sumatera Selatan,2017,621903,2489.5,81.08,26.75,4807430
Sumatera Selatan,2018,581574.61,2252.4,77.66,27,2994191.84
Sumatera Selatan,2019,539316.52,1655.5,85.13,27.6,2603396.24
Sumatera Selatan,2020,551320.76,2300.2,81.1,26.14,2696877.46
Bengkulu,1993,109807,4150,85.5,25.95,356709
Bengkulu,1994,104747,2043,85.32,25.68,334232
Bengkulu,1995,115914,4478,85.49,26.12,377337
Bengkulu,1996,121929,3931,85.96,25.66,396977
Bengkulu,1997,113915,1167,84,25.84,382123
Bengkulu,1998,111158,4114,85.34,26.4,375533
Bengkulu,1999,114788,3084,84.72,25.81,381577
Bengkulu,2000,108751,3254,84.73,24.22,362979
Bengkulu,2001,105212,3010,70.15,26.8,376973
Bengkulu,2002,109519,3076,67.98,28.5,379818
Bengkulu,2003,110550,3030,70.3,29.5,413375
Bengkulu,2004,110929,3277,84.28,29.7,414741
Bengkulu,2005,116818,3375.2,84.7,25.7,441276
Bengkulu,2006,100991,2313.8,83.3,26.1,378377
Bengkulu,2007,123853,3150,84.2,26.4,470469
Bengkulu,2008,127506,3396,84.2,26.3,484900
Bengkulu,2009,132975,3850,84.1,26.5,510160
Bengkulu,2010,133629,3822,84,26.8,516869
Bengkulu,2011,127934,2465.7,82.52,26.35,502552
Bengkulu,2012,144448,2545,82,26.9,581910
Bengkulu,2013,147680,3980.9,83.93,26.7,622832
Bengkulu,2014,147572,3323,83.7,26.9,593194
Bengkulu,2015,128833,2668.9,83.2,27,578654
Bengkulu,2016,83449,3350.1,83.38,26.77,629224
Bengkulu,2017,82429,3949.8,84.2,26.52,714017
Bengkulu,2018,65891.16,3649.9,83.79,26.64,288810.52
Bengkulu,2019,64406.86,1786.2,83.26,26.56,296472.07
Bengkulu,2020,64137.28,4144,80.18,25.84,296925.16
Lampung,1993,433078,2306.7,84.82,26.41,1646900
Lampung,1994,425940,2034.2,77.51,25.73,1615751
Lampung,1995,514363,3039.4,82.81,26.43,1943709
Lampung,1996,515192,1934.9,82.61,26.27,1971740
Lampung,1997,454087,1253.3,78.46,26.68,1753656
Lampung,1998,521575,2584.9,84.07,26.95,1975700
Lampung,1999,476899,2364.7,83.46,26.24,1801422
Lampung,2000,496879,1488.5,82.86,28.2,1946406
Lampung,2001,501119,2013.1,77.83,26.71,1992726
Lampung,2002,475461,2143.5,75.84,27.5,1951109
Lampung,2003,472635,1682.2,68.71,29.67,1966293
Lampung,2004,495519,2042.9,81.47,29.66,2091996
Lampung,2005,496538,1612.8,79.6,26.59,2124144
Lampung,2006,494102,560.3,74.6,26.18,2129914
Lampung,2007,524955,1941.4,75.9,27.6,2308404
Lampung,2008,506547,1940.1,79,26.4,2341075
Lampung,2009,570417,1789,79.1,26.7,2673844
Lampung,2010,590608,2710,82.3,26.7,2807676
Lampung,2011,606973,1568,77.8,26.8,2940795
Lampung,2012,641876,1685,79.2,26.8,3101455
Lampung,2013,638090,2456.7,81,26.7,3207002
Lampung,2014,648731,1682.5,79.9,25.8,3320064
Lampung,2015,707266,1628.1,78.9,27.1,3641895
Lampung,2016,390799,2317.6,79.4,26.45,3831923
Lampung,2017,396559,1825.1,77.04,26.36,4090654
Lampung,2018,511940.93,1385.8,76.05,25.5,2488641.91
Lampung,2019,464103.42,1706.4,78.03,27.23,2164089.33
Lampung,2020,545149.05,2211.3,75.8,24.58,2604913.29
